Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
76,production_million_slide_earnings_growth,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",26,ahead_mr_allowed_thanks_,75,production_million_slide_earnings_growth,0.97664606511019
75,production_million_slide_earnings_growth,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",32,begin_beginning_start_mr_ll turn,74,production_million_slide_earnings_growth,0.8712336621096126
74,production_million_slide_earnings_growth,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38]",73,production_million_slide_earnings_growth,35,numbers_number_digit_amounts_figures,0.8387320983430067
73,production_million_slide_earnings_growth,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 33, 34, 36, 37, 38]",72,production_slide_million_earnings_growth,28,days_90 days_sales_decrease_day,0.8382897386051922
72,production_slide_million_earnings_growth,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 29, 30, 31, 33, 34, 36, 37, 38]",27,broadcast_audience_participants_audio_recorded,71,production_slide_million_earnings_growth,0.8185423115425247
71,production_slide_million_earnings_growth,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 29, 30, 31, 33, 34, 36, 37, 38]",70,production_million_slide_growth_strong,51,statements_forward looking_looking_forward_company,0.785422056530588
70,production_million_slide_growth_strong,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 21, 22, 24, 25, 29, 30, 31, 33, 34, 36, 37, 38]",6,questions_open_ask_request_closing,69,production_million_slide_growth_strong,0.782731922382229
69,production_million_slide_growth_strong,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 21, 22, 24, 25, 29, 30, 31, 33, 34, 36, 37, 38]",68,production_million_slide_growth_strong,24,currency_exchange_dollars_dollar_earnings,0.7602793611020575
68,production_million_slide_growth_strong,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 21, 22, 25, 29, 30, 31, 33, 34, 36, 37, 38]",67,production_slide_million_growth_strong,25,inventory_inventories_stock_supply_shipments,0.7494626598631902
67,production_slide_million_growth_strong,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 21, 22, 29, 30, 31, 33, 34, 36, 37, 38]",19,webcast_press release_recorded_earnings release_conference,66,production_slide_million_growth_strong,0.7467967473017076
66,production_slide_million_growth_strong,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 21, 22, 29, 30, 31, 33, 34, 36, 37, 38]",65,production_million_strong_growth_gas,14,slide_slides_presentation_let turn_number,0.7467247982718239
65,production_million_strong_growth_gas,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 16, 17, 18, 21, 22, 29, 30, 31, 33, 34, 36, 37, 38]",64,production_million_strong_growth_gas,30,settlement_litigation_claims_commission_pending,0.7443870688745249
64,production_million_strong_growth_gas,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 16, 17, 18, 21, 22, 29, 31, 33, 34, 36, 37, 38]",63,production_million_gas_strong_growth,22,acquisitions_acquisition_acquire_merger_acquired,0.7296971727706201
63,production_million_gas_strong_growth,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 16, 17, 18, 21, 29, 31, 33, 34, 36, 37, 38]",62,production_million_gas_strong_growth,36,safety_safe_employees_protect_company,0.7280849282824932
62,production_million_gas_strong_growth,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 16, 17, 18, 21, 29, 31, 33, 34, 37, 38]",61,production_million_gas_strong_growth,16,non gaap_gaap_financial results_earnings release_accounting,0.7242102325537766
61,production_million_gas_strong_growth,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 17, 18, 21, 29, 31, 33, 34, 37, 38]",50,thank_good_morning_welcome_afternoon,60,production_million_gas_growth_strong,0.7228819521428187
60,production_million_gas_growth_strong,"[0, 1, 2, 3, 4, 5, 8, 9, 10, 11, 13, 17, 21, 29, 31, 33, 34, 37, 38]",59,production_million_gas_strong_growth,31,flat_year quarter_quarter year_quarter revenue_compared quarter,0.7165626698057936
59,production_million_gas_strong_growth,"[0, 1, 2, 3, 4, 5, 8, 9, 10, 11, 13, 17, 21, 29, 33, 34, 37, 38]",4,ceo_board directors_executive_directors_management team,58,production_million_gas_strong_growth,0.6537423003129066
58,production_million_gas_strong_growth,"[0, 1, 2, 3, 5, 8, 9, 10, 11, 13, 17, 21, 29, 33, 34, 37, 38]",52,quarter_results_review_strong_financial,57,production_million_gas_growth_cash,0.6464233000338409
57,production_million_gas_growth_cash,"[0, 1, 2, 3, 9, 10, 11, 13, 17, 21, 29, 33, 34, 37, 38]",56,production_million_gas_growth_customers,9,cash flows_cash flow_balance sheet_financial_cash,0.6433094754185951
56,production_million_gas_growth_customers,"[0, 1, 2, 3, 10, 11, 13, 17, 21, 29, 33, 34, 37, 38]",29,game_play_played_award_release,55,production_million_gas_growth_customers,0.6401448016757616
55,production_million_gas_growth_customers,"[0, 1, 2, 3, 10, 11, 13, 17, 21, 33, 34, 37, 38]",53,production_gas_customers_growth_knowledge,54,million_expenses_ebitda_quarter_gaap,0.6320642103928804
54,million_expenses_ebitda_quarter_gaap,"[0, 2, 34]",41,million_expenses_ebitda_quarter_gaap,34,cash flow_debt_cash_liquidity_balance sheet,0.612405885336494
53,production_gas_customers_growth_knowledge,"[1, 3, 10, 11, 13, 17, 21, 33, 37, 38]",11,stores_store_retail_sales_seven,49,production_gas_customers_growth_knowledge,0.602386359048521
52,quarter_results_review_strong_financial,"[5, 8]",5,financial results_financial performance_quarter results_earnings release_review,8,strong quarter_results quarter_quarter results_performance quarter_fourth quarter,0.6014118713145127
51,statements_forward looking_looking_forward_company,"[12, 15, 20, 23]",45,statements_forward looking_looking_forward_projections,20,risks_risk_factors_filings_statements,0.5997499535417403
50,thank_good_morning_welcome_afternoon,"[7, 18]",18,morning_welcome_thank_evening_happy,7,quarter earnings_earnings_earnings release_financial results_morning,0.594765047399181
